URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.furman.edu/,aria-hidden-focus,serious,https://dequeuniversity.com/rules/axe/3.5/aria-hidden-focus?application=webdriverjs,<div aria-hidden="true" class="header--mobile__drawer">,,.header--mobile__drawer
https://www.furman.edu/,button-name,critical,https://dequeuniversity.com/rules/axe/3.5/button-name?application=webdriverjs,<button class="pagination__button"><div class="pagination__item_label">News</div> <div class="pagination__item_number">01</div></button>,Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none"--Element has no title attribute or the title attribute is empty,.active.pagination__item > .pagination__button
https://www.furman.edu/,button-name,critical,https://dequeuniversity.com/rules/axe/3.5/button-name?application=webdriverjs,<button class="pagination__button"><div class="pagination__item_label">The Furman Advantage</div> <div class="pagination__item_number">02</div></button>,Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none"--Element has no title attribute or the title attribute is empty,.pagination__item:nth-child(2) > .pagination__button
https://www.furman.edu/,button-name,critical,https://dequeuniversity.com/rules/axe/3.5/button-name?application=webdriverjs,<button class="pagination__button"><div class="pagination__item_label">Post Grad</div> <div class="pagination__item_number">03</div></button>,Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none"--Element has no title attribute or the title attribute is empty,.pagination__item:nth-child(3) > .pagination__button
https://www.furman.edu/,button-name,critical,https://dequeuniversity.com/rules/axe/3.5/button-name?application=webdriverjs,<button class="pagination__button"><div class="pagination__item_label">Explore Furman</div> <div class="pagination__item_number">04</div></button>,Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none"--Element has no title attribute or the title attribute is empty,.pagination__item:nth-child(4) > .pagination__button
https://www.furman.edu/,listitem,serious,https://dequeuniversity.com/rules/axe/3.5/listitem?application=webdriverjs,<li class="pagination__item active"><button class="pagination__button"><div class="pagination__item_label">News</div> <div class="pagination__item_number">01</div></button></li>,List item does not have a <ul>- <ol> parent element without a role- or a role="list",.active.pagination__item
https://www.furman.edu/,listitem,serious,https://dequeuniversity.com/rules/axe/3.5/listitem?application=webdriverjs,<li class="pagination__item"><button class="pagination__button"><div class="pagination__item_label">The Furman Advantage</div> <div class="pagination__item_number">02</div></button></li>,List item does not have a <ul>- <ol> parent element without a role- or a role="list",.pagination__item:nth-child(2)
https://www.furman.edu/,listitem,serious,https://dequeuniversity.com/rules/axe/3.5/listitem?application=webdriverjs,<li class="pagination__item"><button class="pagination__button"><div class="pagination__item_label">Post Grad</div> <div class="pagination__item_number">03</div></button></li>,List item does not have a <ul>- <ol> parent element without a role- or a role="list",.pagination__item:nth-child(3)
https://www.furman.edu/,listitem,serious,https://dequeuniversity.com/rules/axe/3.5/listitem?application=webdriverjs,<li class="pagination__item"><button class="pagination__button"><div class="pagination__item_label">Explore Furman</div> <div class="pagination__item_number">04</div></button></li>,List item does not have a <ul>- <ol> parent element without a role- or a role="list",.pagination__item:nth-child(4)
https://www.furman.edu/campus-life/trone-student-center/,aria-hidden-focus,serious,https://dequeuniversity.com/rules/axe/3.5/aria-hidden-focus?application=webdriverjs,<div aria-hidden="true" class="header--mobile__drawer">,,.header--mobile__drawer
